date,region,product,channel,customer_segment,revenue,inventory_available,stockout_rate,delivery_delay_rate,customer_complaints,units_sold,unit_price
2025-01-01,West,Product D,Distributor,SMB,12117.91,0.9316,0.0315,0.0272,0.71,110.92,109.24
2025-02-01,North,Product A,Retail,Enterprise,15144.85,0.9366,0.0276,0.0422,1.13,153.27,98.81
2025-02-01,North,Product A,Retail,SMB,9604.82,0.9229,0.0273,0.0456,1.22,95.97,100.08
2025-02-01,North,Product A,Distributor,Enterprise,18992.42,0.938,0.0215,0.0386,2.37,189.27,100.34
2025-02-01,North,Product A,Distributor,SMB,12699.66,0.9378,0.0237,0.0391,1.95,127.75,99.41
2025-02-01,North,Product B,Retail,Enterprise,15432.56,0.9078,0.0133,0.0346,1.95,131.16,117.67
2025-02-01,North,Product B,Retail,SMB,11151.7,0.9463,0.0316,0.0394,1.79,92.66,120.36
2025-02-01,North,Product B,Distributor,Enterprise,19284.6,0.9211,0.0176,0.0329,1.77,162.75,118.49
2025-02-01,North,Product B,Distributor,SMB,13812.8,0.9093,0.027,0.0317,1.58,112.21,123.1
2025-02-01,North,Product C,Retail,Enterprise,16380.15,0.9439,0.022,0.0357,0.91,120.31,136.16
2025-02-01,North,Product C,Retail,SMB,10901.17,0.9272,0.0266,0.0429,1.59,77.37,140.9
2025-02-01,North,Product C,Distributor,Enterprise,18808.59,0.946,0.0233,0.0489,1.84,137.39,136.9
2025-02-01,North,Product C,Distributor,SMB,12958.74,0.9593,0.0354,0.0406,1.19,92.08,140.73
2025-02-01,North,Product D,Retail,Enterprise,16640.6,0.935,0.0249,0.0425,1.42,153.22,108.6
2025-02-01,North,Product D,Retail,SMB,9657.45,0.9132,0.0227,0.0377,2.06,90.61,106.58
2025-02-01,North,Product D,Distributor,Enterprise,19031.46,0.9352,0.023,0.0377,2.2,175.55,108.41
2025-02-01,North,Product D,Distributor,SMB,12743.25,0.946,0.0193,0.0401,2.7,116.44,109.44
2025-02-01,South,Product A,Retail,Enterprise,14342.17,0.9314,0.0279,0.0395,1.6,140.4,102.15
2025-02-01,South,Product A,Retail,SMB,8953.53,0.9172,0.0283,0.0487,1.25,88.96,100.65
2025-02-01,South,Product A,Distributor,Enterprise,15983.08,0.9254,0.0297,0.0253,1.74,158.75,100.68
2025-02-01,South,Product A,Distributor,SMB,9466.17,0.9505,0.0295,0.0342,0.41,96.83,97.76
2025-02-01,South,Product B,Retail,Enterprise,12741.78,0.9663,0.0272,0.0355,1.52,107.05,119.02
2025-02-01,South,Product B,Retail,SMB,8774.27,0.9315,0.0246,0.0463,1.05,73.45,119.46
2025-02-01,South,Product B,Distributor,Enterprise,17042.2,0.9435,0.0331,0.0322,1.28,143.5,118.76
2025-02-01,South,Product B,Distributor,SMB,11979.66,0.9511,0.0228,0.0516,1.27,100.12,119.66
2025-02-01,South,Product C,Retail,Enterprise,15153.49,0.9246,0.0203,0.0364,1.5,105.76,143.29
2025-02-01,South,Product C,Retail,SMB,8736.87,0.9219,0.0307,0.0208,0.35,61.82,141.34
2025-02-01,South,Product C,Distributor,Enterprise,15444.66,0.9337,0.0241,0.038,1.26,111.7,138.26
2025-02-01,South,Product C,Distributor,SMB,11183.26,0.9406,0.0283,0.0431,1.25,81.11,137.88
2025-02-01,South,Product D,Retail,Enterprise,14641.6,0.9287,0.0235,0.034,1.03,129.16,113.36
2025-02-01,South,Product D,Retail,SMB,8563.07,0.9289,0.0267,0.0404,0.56,78.9,108.53
2025-02-01,South,Product D,Distributor,Enterprise,16831.32,0.9276,0.0217,0.0444,1.91,151.33,111.22
2025-02-01,South,Product D,Distributor,SMB,9961.09,0.9339,0.0205,0.0415,0.36,90.65,109.89
2025-02-01,East,Product A,Retail,Enterprise,16363.75,0.9262,0.0268,0.0207,1.35,160.63,101.87
2025-02-01,East,Product A,Retail,SMB,9953.73,0.9407,0.035,0.0306,0.8,101.16,98.39
2025-02-01,East,Product A,Distributor,Enterprise,18252.64,0.9117,0.0262,0.0546,1.31,178.22,102.42
2025-02-01,East,Product A,Distributor,SMB,11091.35,0.9222,0.0291,0.0419,0.45,111.62,99.36
2025-02-01,East,Product B,Retail,Enterprise,16331.25,0.9491,0.0219,0.0349,1.92,137.28,118.96
2025-02-01,East,Product B,Retail,SMB,11309.75,0.9047,0.0277,0.0317,1.24,93.62,120.81
2025-02-01,East,Product B,Distributor,Enterprise,17853.92,0.9179,0.0186,0.0457,1.89,147.79,120.8
2025-02-01,East,Product B,Distributor,SMB,12286.31,0.9234,0.0252,0.0422,0.89,100.2,122.61
2025-02-01,East,Product C,Retail,Enterprise,16362.53,0.9238,0.0318,0.0317,0.21,117.82,138.88
2025-02-01,East,Product C,Retail,SMB,12359.35,0.9239,0.0153,0.0375,0.88,85.03,145.35
2025-02-01,East,Product C,Distributor,Enterprise,18148.24,0.9387,0.0276,0.028,1.93,131.83,137.66
2025-02-01,East,Product C,Distributor,SMB,13865.5,0.9249,0.0243,0.0449,0.32,98.78,140.36
2025-02-01,East,Product D,Retail,Enterprise,15522.23,0.9577,0.0241,0.0533,1.15,141.94,109.36
2025-02-01,East,Product D,Retail,SMB,10722.96,0.917,0.0259,0.0497,1.0,97.02,110.53
2025-02-01,East,Product D,Distributor,Enterprise,16916.72,0.9165,0.0233,0.0393,0.99,153.83,109.97
2025-02-01,East,Product D,Distributor,SMB,11092.19,0.9222,0.0122,0.0463,1.34,100.11,110.8
2025-02-01,West,Product A,Retail,Enterprise,14022.38,0.9425,0.0267,0.0591,1.93,143.05,98.02
2025-02-01,West,Product A,Retail,SMB,9943.48,0.9423,0.0281,0.05,0.94,99.68,99.75
2025-02-01,West,Product A,Distributor,Enterprise,16523.85,0.9419,0.0325,0.0363,1.78,166.43,99.28
2025-02-01,West,Product A,Distributor,SMB,11355.79,0.9443,0.0137,0.0334,0.98,113.98,99.63
2025-02-01,West,Product B,Retail,Enterprise,13800.35,0.9163,0.024,0.0489,1.28,116.69,118.27
2025-02-01,West,Product B,Retail,SMB,9636.59,0.9457,0.0201,0.0327,1.24,80.37,119.9
2025-02-01,West,Product B,Distributor,Enterprise,17741.95,0.9298,0.0285,0.0317,1.75,146.43,121.17
2025-02-01,West,Product B,Distributor,SMB,11463.44,0.9065,0.0284,0.0372,0.66,97.3,117.81
2025-02-01,West,Product C,Retail,Enterprise,15586.99,0.8958,0.0175,0.0326,2.04,109.48,142.37
2025-02-01,West,Product C,Retail,SMB,10581.53,0.9129,0.0194,0.0436,0.93,74.72,141.61
2025-02-01,West,Product C,Distributor,Enterprise,18037.41,0.9342,0.0258,0.0462,1.95,129.2,139.61
2025-02-01,West,Product C,Distributor,SMB,10309.26,0.945,0.0309,0.0318,0.0,76.21,135.28
2025-02-01,West,Product D,Retail,Enterprise,15045.71,0.957,0.0276,0.037,1.17,134.9,111.54
2025-02-01,West,Product D,Retail,SMB,9818.07,0.9148,0.0352,0.0543,1.64,89.66,109.51
2025-02-01,West,Product D,Distributor,Enterprise,16706.76,0.9396,0.0272,0.05,2.12,149.96,111.41
2025-02-01,West,Product D,Distributor,SMB,11853.63,0.9351,0.0161,0.0407,1.0,106.74,111.05
2025-03-01,North,Product A,Retail,Enterprise,15629.37,0.9559,0.0318,0.042,2.5,152.45,102.52
2025-03-01,North,Product A,Retail,SMB,10628.06,0.9136,0.027,0.0405,0.62,105.96,100.3
2025-03-01,North,Product A,Distributor,Enterprise,18220.0,0.957,0.0295,0.0401,2.31,182.42,99.88
2025-03-01,North,Product A,Distributor,SMB,12163.25,0.9138,0.0242,0.034,0.84,122.0,99.7
2025-03-01,North,Product B,Retail,Enterprise,17085.36,0.9032,0.0244,0.048,2.23,141.55,120.7
2025-03-01,North,Product B,Retail,SMB,11741.65,0.9173,0.0196,0.0428,1.36,97.79,120.07
2025-03-01,North,Product B,Distributor,Enterprise,20282.4,0.928,0.0188,0.0374,2.1,166.28,121.98
2025-03-01,North,Product B,Distributor,SMB,12556.15,0.9338,0.0225,0.035,1.42,105.55,118.96
2025-03-01,North,Product C,Retail,Enterprise,16457.59,0.9341,0.0193,0.0362,2.12,117.13,140.51
2025-03-01,North,Product C,Retail,SMB,9978.63,0.9021,0.0251,0.0402,0.82,73.61,135.56
2025-03-01,North,Product C,Distributor,Enterprise,19227.63,0.9359,0.0328,0.031,1.53,143.08,134.39
2025-03-01,North,Product C,Distributor,SMB,12095.69,0.9251,0.0321,0.0547,0.88,87.57,138.12
2025-03-01,North,Product D,Retail,Enterprise,17073.97,0.9563,0.0245,0.041,2.04,155.14,110.06
2025-03-01,North,Product D,Retail,SMB,12585.1,0.9194,0.0298,0.0371,1.11,112.97,111.4
2025-03-01,North,Product D,Distributor,Enterprise,18928.19,0.9342,0.0251,0.0427,2.28,171.99,110.05
2025-03-01,North,Product D,Distributor,SMB,11326.56,0.9153,0.0178,0.0395,1.27,101.95,111.1
2025-03-01,South,Product A,Retail,Enterprise,13538.54,0.9099,0.023,0.0353,1.58,133.72,101.25
2025-03-01,South,Product A,Retail,SMB,9144.8,0.9409,0.0253,0.0249,0.13,92.85,98.49
2025-03-01,South,Product A,Distributor,Enterprise,15717.97,0.9284,0.0249,0.0418,2.37,157.7,99.67
2025-03-01,South,Product A,Distributor,SMB,9786.92,0.9136,0.0264,0.05,0.98,99.62,98.24
2025-03-01,South,Product B,Retail,Enterprise,12573.71,0.9175,0.0222,0.0367,1.31,107.53,116.93
2025-03-01,South,Product B,Retail,SMB,9564.19,0.9199,0.0207,0.0438,0.17,78.47,121.89
2025-03-01,South,Product B,Distributor,Enterprise,16824.88,0.9278,0.0329,0.035,2.71,139.99,120.18
2025-03-01,South,Product B,Distributor,SMB,10699.27,0.931,0.0196,0.034,1.29,90.9,117.7
2025-03-01,South,Product C,Retail,Enterprise,14655.39,0.9448,0.0308,0.0515,1.53,105.67,138.69
2025-03-01,South,Product C,Retail,SMB,10259.58,0.9252,0.0207,0.041,0.62,75.41,136.05
2025-03-01,South,Product C,Distributor,Enterprise,16913.31,0.9275,0.0271,0.0381,1.45,117.49,143.95
2025-03-01,South,Product C,Distributor,SMB,11121.99,0.9475,0.0332,0.0425,1.24,78.91,140.94
2025-03-01,South,Product D,Retail,Enterprise,13182.56,0.9441,0.0293,0.0417,1.88,120.0,109.86
2025-03-01,South,Product D,Retail,SMB,9662.77,0.9343,0.0232,0.0427,0.0,86.29,111.98
2025-03-01,South,Product D,Distributor,Enterprise,15236.36,0.9041,0.0273,0.0438,1.18,146.53,103.98
2025-03-01,South,Product D,Distributor,SMB,10423.56,0.9227,0.0362,0.04,1.32,92.85,112.26
2025-03-01,East,Product A,Retail,Enterprise,16002.5,0.915,0.0245,0.0397,1.23,159.71,100.2
2025-03-01,East,Product A,Retail,SMB,9869.42,0.9439,0.0252,0.0377,1.14,99.81,98.89
2025-03-01,East,Product A,Distributor,Enterprise,17711.0,0.915,0.0198,0.0488,1.9,175.49,100.93
2025-03-01,East,Product A,Distributor,SMB,10988.97,0.937,0.0173,0.0418,1.68,109.16,100.67
2025-03-01,East,Product B,Retail,Enterprise,16298.49,0.9089,0.0267,0.0376,1.37,134.55,121.14
2025-03-01,East,Product B,Retail,SMB,11383.31,0.9569,0.0316,0.0391,1.29,92.8,122.66
2025-03-01,East,Product B,Distributor,Enterprise,18803.14,0.932,0.0291,0.0395,1.51,156.41,120.22
2025-03-01,East,Product B,Distributor,SMB,12070.97,0.93,0.0267,0.0454,1.01,99.64,121.14
2025-03-01,East,Product C,Retail,Enterprise,16543.66,0.9115,0.0322,0.036,0.58,117.5,140.8
2025-03-01,East,Product C,Retail,SMB,9730.99,0.9308,0.0236,0.0373,1.16,70.59,137.86
2025-03-01,East,Product C,Distributor,Enterprise,18634.77,0.9361,0.0281,0.0231,1.41,132.48,140.66
2025-03-01,East,Product C,Distributor,SMB,10685.58,0.9299,0.0302,0.0495,1.02,76.28,140.08
2025-03-01,East,Product D,Retail,Enterprise,15123.09,0.9221,0.025,0.0479,1.36,136.49,110.8
2025-03-01,East,Product D,Retail,SMB,10743.88,0.9157,0.0299,0.0456,1.21,96.69,111.12
2025-03-01,East,Product D,Distributor,Enterprise,16941.91,0.9219,0.0277,0.0324,2.09,156.03,108.58
2025-03-01,East,Product D,Distributor,SMB,11004.83,0.9316,0.0372,0.029,1.94,100.35,109.66
2025-03-01,West,Product A,Retail,Enterprise,14605.09,0.9318,0.0272,0.0388,2.47,145.16,100.62
2025-03-01,West,Product A,Retail,SMB,9558.49,0.9203,0.0247,0.0314,1.36,93.99,101.7
2025-03-01,West,Product A,Distributor,Enterprise,17309.19,0.927,0.0194,0.0382,1.28,173.29,99.88
2025-03-01,West,Product A,Distributor,SMB,10650.83,0.9498,0.039,0.0353,1.99,106.15,100.34
2025-03-01,West,Product B,Retail,Enterprise,15274.19,0.9365,0.0253,0.0409,1.33,127.57,119.73
2025-03-01,West,Product B,Retail,SMB,9054.95,0.9398,0.0236,0.0352,0.93,77.25,117.22
2025-03-01,West,Product B,Distributor,Enterprise,17962.5,0.9202,0.0311,0.0526,2.04,149.28,120.32
2025-03-01,West,Product B,Distributor,SMB,12436.36,0.947,0.0281,0.0448,1.48,101.74,122.24
2025-03-01,West,Product C,Retail,Enterprise,14545.84,0.9097,0.021,0.0504,1.65,102.82,141.47
2025-03-01,West,Product C,Retail,SMB,11104.19,0.9127,0.0238,0.0408,1.0,79.64,139.43
2025-03-01,West,Product C,Distributor,Enterprise,18131.86,0.9353,0.0201,0.0436,1.56,130.22,139.24
2025-03-01,West,Product C,Distributor,SMB,11060.58,0.9272,0.0236,0.0542,0.9,79.28,139.5
2025-03-01,West,Product D,Retail,Enterprise,13972.94,0.9166,0.0237,0.0345,2.26,131.15,106.54
2025-03-01,West,Product D,Retail,SMB,9802.46,0.9309,0.0252,0.0393,1.05,87.42,112.13
2025-03-01,West,Product D,Distributor,Enterprise,17074.94,0.9,0.0223,0.0401,2.27,160.82,106.17
2025-03-01,West,Product D,Distributor,SMB,11357.77,0.9453,0.0302,0.0415,1.73,103.85,109.37
2025-04-01,North,Product A,Retail,Enterprise,15604.03,0.9405,0.0256,0.04,2.62,157.37,99.16
2025-04-01,North,Product A,Retail,SMB,8979.62,0.9122,0.0232,0.038,0.35,91.75,97.87
2025-04-01,North,Product A,Distributor,Enterprise,17222.41,0.9669,0.034,0.0367,1.91,174.48,98.71
2025-04-01,North,Product A,Distributor,SMB,11059.71,0.9282,0.02,0.0393,0.57,113.86,97.14
2025-04-01,North,Product B,Retail,Enterprise,15958.57,0.9355,0.0271,0.0294,2.02,132.69,120.27
2025-04-01,North,Product B,Retail,SMB,10539.15,0.9298,0.0181,0.0375,1.23,87.0,121.14
2025-04-01,North,Product B,Distributor,Enterprise,19164.46,0.953,0.03,0.0379,2.3,160.04,119.75
2025-04-01,North,Product B,Distributor,SMB,14121.9,0.9116,0.0204,0.0519,0.84,114.32,123.53
2025-04-01,North,Product C,Retail,Enterprise,15341.77,0.9363,0.0245,0.0348,0.99,110.39,138.98
2025-04-01,North,Product C,Retail,SMB,10284.05,0.9642,0.0265,0.0471,0.65,74.44,138.15
2025-04-01,North,Product C,Distributor,Enterprise,18506.9,0.8902,0.0181,0.0255,0.48,133.62,138.5
2025-04-01,North,Product C,Distributor,SMB,11954.4,0.9293,0.0315,0.0433,1.4,83.72,142.78
2025-04-01,North,Product D,Retail,Enterprise,15354.49,0.9409,0.0221,0.0445,1.95,138.5,110.86
2025-04-01,North,Product D,Retail,SMB,10013.05,0.9122,0.0254,0.0426,0.71,92.59,108.15
2025-04-01,North,Product D,Distributor,Enterprise,18259.34,0.9393,0.0328,0.0502,1.47,164.59,110.94
2025-04-01,North,Product D,Distributor,SMB,12882.4,0.9457,0.0253,0.0367,0.51,118.05,109.12
2025-04-01,South,Product A,Retail,Enterprise,13074.02,0.9445,0.0326,0.0336,1.76,133.87,97.66
2025-04-01,South,Product A,Retail,SMB,8538.01,0.9416,0.0248,0.0539,0.79,86.19,99.06
2025-04-01,South,Product A,Distributor,Enterprise,16016.92,0.9419,0.0228,0.0396,1.86,159.94,100.15
2025-04-01,South,Product A,Distributor,SMB,10009.66,0.9398,0.028,0.0523,1.91,99.11,100.99
2025-04-01,South,Product B,Retail,Enterprise,13999.52,0.9206,0.0251,0.0352,2.2,116.01,120.67
2025-04-01,South,Product B,Retail,SMB,9617.72,0.9479,0.0141,0.0239,1.36,80.41,119.61
2025-04-01,South,Product B,Distributor,Enterprise,16366.11,0.9101,0.0249,0.056,2.04,135.87,120.45
2025-04-01,South,Product B,Distributor,SMB,10875.44,0.9241,0.0144,0.0421,1.52,91.23,119.21
2025-04-01,South,Product C,Retail,Enterprise,12914.24,0.9126,0.0202,0.0404,0.08,93.17,138.61
2025-04-01,South,Product C,Retail,SMB,9972.55,0.9262,0.0126,0.032,1.46,70.44,141.58
2025-04-01,South,Product C,Distributor,Enterprise,14249.31,0.9123,0.029,0.0346,1.43,102.31,139.27
2025-04-01,South,Product C,Distributor,SMB,11551.17,0.927,0.0269,0.0281,1.56,80.3,143.86
2025-04-01,South,Product D,Retail,Enterprise,13056.18,0.9297,0.0172,0.0418,1.92,119.7,109.07
2025-04-01,South,Product D,Retail,SMB,8998.23,0.9281,0.0287,0.025,0.47,83.8,107.38
2025-04-01,South,Product D,Distributor,Enterprise,16170.34,0.9362,0.0343,0.0437,2.09,146.41,110.45
2025-04-01,South,Product D,Distributor,SMB,11868.06,0.918,0.0271,0.0435,1.04,108.24,109.65
2025-04-01,East,Product A,Retail,Enterprise,14873.0,0.9349,0.0213,0.0473,1.67,143.75,103.46
2025-04-01,East,Product A,Retail,SMB,9883.65,0.9106,0.0268,0.0553,1.41,98.01,100.84
2025-04-01,East,Product A,Distributor,Enterprise,16807.88,0.9238,0.0237,0.037,2.49,169.37,99.24
2025-04-01,East,Product A,Distributor,SMB,10686.35,0.9243,0.0269,0.031,1.93,105.5,101.29
2025-04-01,East,Product B,Retail,Enterprise,16618.9,0.9073,0.0291,0.0432,0.84,136.53,121.73
2025-04-01,East,Product B,Retail,SMB,10466.14,0.9383,0.0259,0.0423,1.78,86.74,120.66
2025-04-01,East,Product B,Distributor,Enterprise,17911.75,0.9252,0.0242,0.026,1.92,155.97,114.84
2025-04-01,East,Product B,Distributor,SMB,12529.04,0.935,0.0204,0.0346,2.01,106.14,118.04
2025-04-01,East,Product C,Retail,Enterprise,15361.68,0.9019,0.0343,0.0448,1.22,108.97,140.97
2025-04-01,East,Product C,Retail,SMB,10597.73,0.9477,0.0234,0.0384,0.68,77.33,137.04
2025-04-01,East,Product C,Distributor,Enterprise,17757.73,0.9338,0.0283,0.0399,1.76,125.53,141.46
2025-04-01,East,Product C,Distributor,SMB,12085.3,0.9065,0.0313,0.0509,0.58,83.53,144.68
2025-04-01,East,Product D,Retail,Enterprise,16483.86,0.9446,0.0251,0.0383,1.67,147.65,111.64
2025-04-01,East,Product D,Retail,SMB,10439.85,0.9327,0.0204,0.0466,1.58,92.95,112.31
2025-04-01,East,Product D,Distributor,Enterprise,17824.7,0.9259,0.0204,0.0331,1.11,160.25,111.23
2025-04-01,East,Product D,Distributor,SMB,11627.43,0.9234,0.0102,0.03,1.83,105.84,109.86
2025-04-01,West,Product A,Retail,Enterprise,13924.64,0.9091,0.0322,0.0388,1.81,138.5,100.54
2025-04-01,West,Product A,Retail,SMB,10859.1,0.9254,0.022,0.0374,1.53,106.18,102.27
2025-04-01,West,Product A,Distributor,Enterprise,16160.35,0.952,0.0244,0.0584,2.0,162.57,99.41
2025-04-01,West,Product A,Distributor,SMB,11828.62,0.9444,0.0214,0.0332,1.64,117.66,100.54
2025-04-01,West,Product B,Retail,Enterprise,15493.63,0.9107,0.0182,0.0286,0.66,129.04,120.07
2025-04-01,West,Product B,Retail,SMB,10161.76,0.9298,0.0137,0.0385,0.92,83.28,122.03
2025-04-01,West,Product B,Distributor,Enterprise,17980.63,0.9241,0.0335,0.0436,2.12,153.19,117.38
2025-04-01,West,Product B,Distributor,SMB,11542.14,0.9417,0.021,0.047,0.46,95.71,120.59
2025-04-01,West,Product C,Retail,Enterprise,15161.54,0.9208,0.0249,0.035,0.76,108.01,140.38
2025-04-01,West,Product C,Retail,SMB,9519.6,0.9348,0.0192,0.0457,0.24,69.14,137.68
2025-04-01,West,Product C,Distributor,Enterprise,16571.68,0.9499,0.0267,0.0383,1.68,119.49,138.69
2025-04-01,West,Product C,Distributor,SMB,9935.08,0.96,0.0257,0.0405,1.13,71.01,139.91
2025-04-01,West,Product D,Retail,Enterprise,14349.59,0.9048,0.0261,0.0343,2.27,134.48,106.7
2025-04-01,West,Product D,Retail,SMB,9088.53,0.911,0.0113,0.0381,0.93,85.09,106.81
2025-04-01,West,Product D,Distributor,Enterprise,16474.16,0.948,0.0241,0.0229,2.08,147.38,111.78
2025-04-01,West,Product D,Distributor,SMB,11321.25,0.9447,0.0192,0.0561,0.75,102.45,110.51
